日期,进入人次,进入人数,弹幕数量,新人弹幕,新增关注,关注总数,总金瓜子,总银瓜子,上船人数,船员总数,平均人气,最高人气
2022-02-03,2716,2562,710,49,28,8405,110300,26400,0,20,29504,43681
2022-02-04,3648,1313,771,50,44,8434,164200,54800,1,21,23169,24575
2022-02-05,42,37,8,6,0,8434,0,0,1,21,0,1
2022-02-06,902,683,500,16,0,8409,146900,28100,1,21,19530,23336
2022-02-07,1043,984,212,8,6,8408,28300,24600,0,21,17851,19711
2022-02-08,932,880,700,16,-2,8390,115900,42000,0,21,17819,20393
2022-02-09,14,13,7,0,0,8390,0,0,0,21,0,1
2022-02-10,1290,1162,553,17,1,8371,19200,74500,3,21,11253,13093
2022-02-11,17,17,10,0,0,8371,0,0,0,21,0,1
2022-02-12,1296,1173,582,11,3,8364,284800,6100,3,22,18285,27314
2022-02-13,14,12,10,0,0,8364,0,0,0,22,0,1
2022-02-14,1528,1413,797,62,177,8524,412300,127300,4,24,37594,47954
2022-02-15,1106,985,1133,46,97,8585,433200,20500,0,24,16018,18315
2022-02-16,16,14,17,0,0,8585,0,0,0,24,0,1
2022-02-17,898,808,797,17,19,8552,305300,4100,1,25,7767,10516
2022-02-18,983,894,913,8,-2,8515,319200,2427600,1,25,7964,10446
2022-02-19,17,16,11,0,0,8515,0,200,0,25,0,1
2022-02-20,6,5,15,0,0,8515,0,305100,2,25,0,1
2022-02-21,1792,1588,1086,49,82,8560,241500,85900,0,24,7070,9235
2022-02-22,918,850,558,6,1,8533,209500,755600,0,23,6323,7360
2022-02-23,1308,1176,346,5,1,8518,139100,4900,0,23,5222,6015
2022-02-24,1477,1399,550,8,3,8513,37900,200,1,24,6861,8746
2022-02-25,900,759,430,6,6,8511,198000,49900,0,24,3868,5027
2022-02-26,17,0,16,0,0,0,0,0,0,24,0,1
